codigo_med,nombre_med,formaf,tipomed
1628,CEFALEXINA 250 mg/5 mL 60 mL SUSPENSION,SUSPENSION,M
15710,CATETER TORAXICO RECTO Nº 30   UNIDAD,UNIDAD,I
38184,CAMPO QUIRURGICO ANTIMICROBIANO 45 cm X 60 cm   UNIDAD,UNIDAD,I
5106,NITROGLICERINA (GLICEROLTRINITRATO) 5 mg/mL 5 mL INYECTABLE,INYECTABLE,M
6349,TRIPTORELINA 3.75 mg  INYECTABLE,INYECTABLE,M
21620,BILIRRUBINA TOTAL Y DIRECTA  1 DET UNIDAD,UNIDAD,I
18513,PAPEL CREPADO 90 cm X 90 cm   UNIDAD,UNIDAD,I
29965,MANDIL DESCARTABLE TALLA L   UNIDAD,UNIDAD,I
38267,SOMATROPINA 36 UI 1.5 mL INYECTABLE,INYECTABLE,M
10148,"AGUJA HIPODERMICA DESCARTABLE N° 20 G X 1""   UNIDAD",UNIDAD,I
35014,PAPEL TIPO PARAFILM 10 cm X 250 m APROXIMADAMENTE   UNIDAD,UNIDAD,I
24458,COLLARIN CERVICAL BLANDO PARA ADULTO   UNIDAD,UNIDAD,I
16530,APOSITO DE GASA 10 cm X 10 cm   UNIDAD,UNIDAD,I
29154,PAPEL ARTICULAR 1 ARCADA X 12   UNIDAD,UNIDAD,I
10325,BAJALENGUA DE MADERA ADULTO   UNIDAD,UNIDAD,I
12019,SUTURA CATGUT CROMICO 2/0 C/A 1/2 CIRCULO REDONDA 40 mm X 70 cm   UNIDAD,UNIDAD,I
25229,KIT DE COLORACION DE ZIEHL NEELSEN (FUCSINA BASICA FENICADA + ALCOHOL ACIDO + AZUL DE METILENO) 1 L X 3 FRASCOS   UNIDAD,UNIDAD,I
21872,ALCOHOL ACIDO P.A.  1 L SOLUCION,SOLUCION,I
27567,PAPEL LENTE PARA MICROSCOPIO 100 mm X 150 mm X 100 HOJAS   UNIDAD,UNIDAD,I
6517,YODO POVIDONA 10 g/100 mL 1 L SOLUCION,SOLUCION,M
49215,AGUA PEPTONADA TAMPONADA  250 g UNIDAD,UNIDAD,I
2128,CLORFENAMINA MALEATO 10 mg/mL 1 mL INYECTABLE,INYECTABLE,M
1684,CEFTRIAXONA SODICA 1 g  INYECTABLE,INYECTABLE,M
34265,DETERGENTE ENZIMATICO CON 4 ENZIMAS  1 gal SOLUCION,SOLUCION,I
4291,LACTULOSA 3.33 g/5 mL 180 mL SOLUCION,SOLUCION,M
52772,ALVEOLOTOMO UNIVERSAL 16 cm   UNIDAD,UNIDAD,I
16737,LLAVE DE TRIPLE VIA DESCARTABLE   UNIDAD,UNIDAD,I
30651,"AGUJA MULTIPLE PARA EXTRACCION DE SANGRE AL VACIO 21 G X 1"" X 100   UNIDAD",UNIDAD,I
10222,ALCOHOL ETILICO (ETANOL) 70° 120 mL SOLUCION,SOLUCION,M
5384,PERMETRINA 5 g/100 g (5 %) 60 g CREMA,CREMA,M
22405,ENVASE DE PLASTICO CON TAPA ROSCA PARA ESPUTO 60 mL   UNIDAD,UNIDAD,I
18048,BENZATINA BENCILPENICILINA CON DILUYENTE 2400000 UI  INYECTABLE,INYECTABLE,M
10001,ACEITE DE INMERSION  PARA MICROSCOPIA  100 mL SOLUCION,SOLUCION,I
17029,SONDA VESICAL TIPO FOLEY 2 VIAS DESCARTABLE Nº 14   UNIDAD,UNIDAD,I
6570,ZIDOVUDINA 50 mg/5 mL 240 mL JARABE,JARABE,M
10965,"ESPARADRAPO HIPOALERGENICO DE PLASTICO 1"" X 10 yd   UNIDAD",UNIDAD,I
5884,SODIO CLORURO 900 mg/100 mL (0.9 %) 500 mL INYECTABLE,INYECTABLE,M
51263,KIT PCR EN TIEMPO REAL PARA CUANTIFICACION DE CARGA VIRAL DE HEPATITIS B  X 10 DETERMINACIONES KIT,KIT,I
17072,SONDA NASOGASTRICA Nº 10   UNIDAD,UNIDAD,I
4794,METRONIDAZOL 250 mg/5 mL 120 mL SUSPENSION,SUSPENSION,M
627,AMIKACINA (COMO SULFATO) 250 mg/mL 2 mL INYECTABLE,INYECTABLE,M
27618,SOLUCION PARA DIALISIS PERITONEAL 2.3 % 5 L SOLUCION,SOLUCION,M
41371,AGUJA DENTAL TIPO CARPULE DESCARTABLE Nº 27 G X 30 mm   UNIDAD,UNIDAD,I
4764,METOTREXATO 2.5 mg  TABLETA,TABLETA,M
24603,MICROBROCHA PARA APLICACION DE ADHESIVO X 100   UNIDAD,UNIDAD,I
45237,PERTUZUMAB 420 mg (30 mg/mL) 14 mL INYECTABLE,INYECTABLE,M
22252,TUBO ENDOTRAQUEAL DESCARTABLE Nº 7.5 CON BALON   UNIDAD,UNIDAD,I
11444,LUGOL SOLUCION  100 mL SOLUCION,SOLUCION,I
29014,PINZA CLIPADORA 2.8 mm X 230 cm   UNIDAD,UNIDAD,I
22714,"DILUYENTE PARA VACUNA ANTIPAROTIDITIS, RUBEOLA Y SARAMPION (SPR)  5 DOSIS INYECTABLE",INYECTABLE,M
4364,LEVOFLOXACINO 250 mg  TABLETA,TABLETA,M
26435,SODIO CLORURO (0.9 % -CIRCUITO CERRADO ) 900 mg/100 mL (0.9 %) CIRCUITO CERRADO 250 mL INYECTABLE,INYECTABLE,M
33219,VACUNA ANTIPOLIOMIELITICA BIVALENTE TIPO 1 Y 3  20 DOSIS SUSPENSION,SUSPENSION,M
16464,FRESA DE DIAMANTE DE ALTA VELOCIDAD CONO INVERTIDO MEDIANA   UNIDAD,UNIDAD,I
3452,FENOBARBITAL SODICO 100 mg/mL 2 mL INYECTABLE,INYECTABLE,M
3634,FLUTICASONA PROPIONATO + SALMETEROL (COMO XINAFOATO) 125 µg + 25 µg/DOSIS 120 DOSIS AEROSOL,AEROSOL,M
12704,TUBO OROFARINGEO (TUBO DE MAYO) N° 6   UNIDAD,UNIDAD,I
37091,"JERINGA DESCARTABLE 1 mL CON AGUJA 27 G X 1/2"" RETRACTIL   UNIDAD",UNIDAD,I
12806,"VENDA ELASTICA 4"" X 5 yd   UNIDAD",UNIDAD,I
4024,IBUPROFENO 100 mg/5 mL 60 mL SUSPENSION,SUSPENSION,M
5551,POTASIO CLORURO 20 g/100 mL 10 mL INYECTABLE,INYECTABLE,M
29692,MAMELUCO DESCARTABLE TALLA M   UNIDAD,UNIDAD,I
38493,PLACA LCP RECTA 7 AGUJEROS x 3.5 mm   UNIDAD,UNIDAD,I
46070,BOLSA DE POLIETILENO 50.8 µm X 50 cm X 70 cm COLOR ROJO   UNIDAD,UNIDAD,I
4085,INSULINA HUMANA (ADN RECOMBINANTE) 100 UI/mL 10 mL INYECTABLE,INYECTABLE,M
34947,GLUCOSA AUTOMATIZADA  1 DET KIT,KIT,I
49681,CATETER BALON PARA ANGIOPLASTiA PERIFERICA 2.5 mm X 220 mm DE 5 FR X 150 cm   UNIDAD,UNIDAD,I
3266,ESTRIOL (CREMA VAGINAL) 100 mg/100 g (0.1 %) 15 g CREMA,CREMA,M
3213,ESCOPOLAMINA N-BUTILBROMURO 20 mg/mL 1 mL INYECTABLE,INYECTABLE,M
33586,LENTE INTRAOCULAR CAMARA POSTERIOR PLEGABLE 1 PIEZA DIOPTRIA (+6.0 A +30.0)   UNIDAD,UNIDAD,I
5660,RANITIDINA (COMO CLORHIDRATO) 150 mg  TABLETA,TABLETA,M
2354,CLOTRIMAZOL 500 mg  OVULO,OVULO,M
1522,CAPTOPRIL 25 mg  TABLETA,TABLETA,M
38934,SOLERA DESCARTABLE ESTERIL 1.05 m x 1.20 m   UNIDAD,UNIDAD,I
25683,CRIOVIAL DE PLASTICO ESTERIL 2.0 mL CON TAPA ROSCA C/TAPA FONDO CONICO GRADUADO X 100   UNIDAD,UNIDAD,I
22367,GRAPADORA QUIRURGICA CIRCULAR CURVA PARA CIRUGIA ABIERTA 25 mm   UNIDAD,UNIDAD,I
16603,HOJA DE BISTURI DESCARTABLE Nº 22   UNIDAD,UNIDAD,I
31294,BOTADOR ANGULADO DERECHO   UNIDAD,UNIDAD,I
30347,COJIN PARA SILLA DE RUEDAS   UNIDAD,UNIDAD,I
11285,HOJA PARA EQUIPO SHAVER Nº 3.5 mm   UNIDAD,UNIDAD,I
23612,TUBO ENDOTRAQUEAL DESCARTABLE Nº 9 CON BALON   UNIDAD,UNIDAD,I
43932,CUBRE CALZADO DESCARTABLE   PAR,PAR,I
4455,LINEZOLID 2 mg/mL 300 mL INYECTABLE,INYECTABLE,M
822,AMPICILINA (COMO SAL SODICA) + SULBACTAM (COMO SAL SODICA) 1 g + 500 mg  INYECTABLE,INYECTABLE,M
21633,PROTEINA C REACTIVA (LATEX)  1 DET UNIDAD,UNIDAD,I
21273,DABIGATRAN (COMO ETEXILATO MESILATO) 110 mg  TABLETA,TABLETA,M
32731,EYECTOR DE SALIVA DESCARTABLE X 100   UNIDAD,UNIDAD,I
30707,MICROCATETER 1.3 FR X 156 cm   UNIDAD,UNIDAD,I
4831,MIDAZOLAM 5 mg 5 mL INYECTABLE,INYECTABLE,M
31592,CLORHEXIDINA AL 2% X 1 L CON DISPOSITIVO A CIRCUITO CERRADO CON PEDAL   UNIDAD,UNIDAD,I
29205,ESPARADRAPO HIPOALERGICO DE PAPEL 2.5 cm x 9.1 m x12   UNIDAD,UNIDAD,I
40489,AEROCAMARA DE PLASTICO NEONATAL   UNIDAD,UNIDAD,I
18156,CEFAZOLINA (COMO SAL SODICA) CON DILUYENTE 1 g  INYECTABLE,INYECTABLE,M
15334,CANULA BINASAL PARA OXIGENO ADULTO   UNIDAD,UNIDAD,I
19723,SALBUTAMOL (COMO SULFATO) 5 mg/mL 10 mL SOLUCION,SOLUCION,M
4556,MAGNESIO SULFATO 200 mg/mL 10 mL INYECTABLE,INYECTABLE,M
12549,TORNILLO CORTICAL 3.5 mm X 38 mm   UNIDAD,UNIDAD,I
4701,METILDOPA 250 mg  TABLETA,TABLETA,M
26096,"AGUJA MULTIPLE PARA EXTRACCION DE SANGRE AL VACIO 22 G X 1""   UNIDAD",UNIDAD,I
31611,MICROPIPETA VOLUMEN FIJO 10 µL   UNIDAD,UNIDAD,I
19919,GASA FRACCIONADA ESTERIL 7.5 cm X 7.5 cm DE 8 PLIEGUES X 5 UNI   UNIDAD,UNIDAD,I
3874,HALOPERIDOL (COMO DECANOATO) 50 mg/mL 1 mL INYECTABLE,INYECTABLE,M
33807,FUNDA DE POLIETILENO ESTERIL 1.20 m X 2.0 m PARA MICROSCOPIO   UNIDAD,UNIDAD,I
11854,SONDA DE ASPIRACION ENDOTRAQUEAL Nº 8   UNIDAD,UNIDAD,I
34813,TAPENTADOL (TABLETA LIBERACION MODIFICADA) 50 mg  TABLETA,TABLETA,M
10064,AGAR MANITOL SALADO  500 g UNIDAD,UNIDAD,I
22965,GUANTE QUIRURGICO ESTERIL EMPAQUE INDIV. Nº 6 1/2 PUÑO LARGO (PAR)   UNIDAD,UNIDAD,I
22030,PRESERVATIVO FEMENINO   UNIDAD,UNIDAD,I
947,AZITROMICINA 500 mg  TABLETA,TABLETA,M
2187,CLORHEXIDINA GLUCONATO 4 g/100 mL (4 %) 1 L SOLUCION,SOLUCION,M
19916,"ESPONJA NEUROQUIRURGICA 1/2"" X 1"" X 10   UNIDAD",UNIDAD,I
32374,"CUBETA DESCARTABLE PARA FLUORIZACION DOBLE ""M""   UNIDAD",UNIDAD,I
